nickname,battles_amount,wins_amount,tanks_amount,is_banned,is_tester,motto,clan_name
Amerudo,2,99,0,Yes,No,Ozhypachir,Amatudet
Abezab,3,6,46,Yes,No,Buqaryt,Axewyzhusy
Chetyvaqo,60,49,61,Yes,No,Pechexush,Ovajikhuxo
Ufesoku,60,32,73,Yes,No,Afizonizha,Nizecoc
Ozhanap,58,7,32,Yes,No,Athemakhi,Pewavof
Itishece,41,96,30,Yes,No,Achahufari,Cyzishiqim
Chehahythit,26,16,40,Yes,No,Mikase,Thedychikhuw
Enubuz,46,58,100,Yes,No,Honixy,Qyshoshav
Nuwisyzod,71,3,67,Yes,No,Alysamu,Vunyzyshes
Utojetha,86,79,34,Yes,No,Kykhizhef,Oveshub
Jesugu,14,10,22,Yes,No,Kydepipa,Akikhath
Uvyruq,63,52,54,Yes,No,Ohytul,Utyker
Wybelal,91,16,76,Yes,No,Avethorur,Azeqet
Ozhidum,54,88,2,Yes,No,Ykugur,Dizhajyvu
Rohibyr,81,9,65,Yes,No,Syxarishys,Ikhaxisa
Esyhaqeq,33,93,59,Yes,No,Ypivug,Ozhetijal
Fyryfeshax,78,84,75,Yes,No,Rapakhepes,Syvulir
Khuzhydix,46,76,98,Yes,No,Oxejudo,Getuqych
Igizykuthy,25,90,70,Yes,No,Uzhihishi,Shushekezu
Negathy,24,0,5,Yes,No,Asegyqevu,Veshezhip
Roshykuvu,48,15,56,Yes,No,Zethezyk,Jamusohen
Yzylegesh,93,23,68,Yes,No,Gijucom,Khabotule
Oqebalole,33,99,60,Yes,No,Chyketynot,Ynozhyha
Acobedyqo,100,37,50,Yes,No,Xequvofyq,Hasyvawin
Yzisach,56,94,58,Yes,No,Ovuwysim,Liwikholim
Ukhetoxuf,81,20,37,Yes,No,Defera,Isevakh
Cutheqi,75,20,70,Yes,No,Abyvyguse,Ozhebeca
Fecheline,6,24,54,Yes,No,Nosukuqe,Yzychithyty
Cinaparech,28,61,47,Yes,No,Gefepu,Zhuzawova
Lacegu,50,58,73,Yes,No,Ymichefe,Odecichyj
Wabolyboch,69,77,92,Yes,No,Matechuk,Ifixith
Ujevych,5,89,4,Yes,No,Ihefuzhyci,Shyqyxow
Ithejazhethu,18,68,54,Yes,No,Ochusam,Exywavow
Aqoger,54,43,88,Yes,No,Uvawyshakh,Azurasiha
Thushimylog,89,71,42,Yes,No,Vuchate,Erothez
Ocajother,21,64,94,Yes,No,Qipezhashy,Ivesyfo
Zhojuso,16,44,90,Yes,No,Upipitid,Yrokyhoch
Yzhokovyzhe,26,39,36,Yes,No,Vicanar,Cekhyfude
Fiwycynyz,12,62,14,Yes,No,Operozac,Echuhanoju
Luwulam,94,37,48,Yes,No,Ozhopykhi,Zhelalipe
Ikhimitu,26,18,89,Yes,No,Ogepithis,Jaribekh
Ubefaseb,30,32,36,Yes,No,Ezhytity,Ukhoxazho
Uzathax,81,13,38,Yes,No,Pomynuzho,Zegomuja
Chazehikh,58,44,73,Yes,No,Ozozihez,Apibalef
Thychoshap,25,96,78,Yes,No,Zyfozagukh,Hofaxuwef
Exakasusha,61,41,5,Yes,No,Jagefidych,Vymixixo
Jyvychibu,47,58,58,Yes,No,Udikhyduc,Dazithena
Khozizhy,65,75,99,Yes,No,Ylimyriwa,Awesucoqu
Pihufyg,3,58,73,Yes,No,Rifytulec,Xuxusud
Cupesug,43,99,80,Yes,No,Wamywa,Vihami
Gathivavyzh,49,59,74,Yes,No,Onethoshado,Gazhyshuh
Imyzheby,95,67,96,Yes,No,Exagezade,Ylybadezh
Iruvithem,41,53,36,Yes,No,Safatox,Hyshochuq
